epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.555,1.23991,2.39909,1.62518,0.64362,0.36512,0.47252,0.32591,1.44666,1.9183,1.9381,0.00332642,0.00332642,0.00332642
2,274.787,1.26466,1.66303,1.57408,0.5757,0.40204,0.45304,0.32172,1.5089,1.93725,2.02418,0.0066158,0.0066158,0.0066158
3,408.084,1.37854,1.85996,1.67267,0.40582,0.3097,0.29352,0.1821,1.69645,2.67858,2.18449,0.00986118,0.00986118,0.00986118
4,542.384,1.43771,1.96172,1.71197,0.37862,0.39231,0.33186,0.22104,1.61722,2.75395,2.10625,0.009802,0.009802,0.009802
5,675.942,1.38421,1.83695,1.67199,0.4749,0.4685,0.4322,0.28636,1.48968,2.59684,1.98237,0.009736,0.009736,0.009736
6,814.406,1.32592,1.69662,1.61851,0.71096,0.48248,0.537,0.36616,1.38239,1.81891,1.86853,0.00967,0.00967,0.00967
7,954.107,1.28553,1.603,1.57022,0.6361,0.56217,0.59716,0.42362,1.3405,1.54229,1.76509,0.009604,0.009604,0.009604
8,1092.38,1.26998,1.53069,1.55144,0.5619,0.60442,0.63726,0.44561,1.35374,1.5729,1.78218,0.009538,0.009538,0.009538
9,1225.02,1.23889,1.45887,1.53526,0.61747,0.58749,0.61126,0.43069,1.28923,1.38274,1.73045,0.009472,0.009472,0.009472
10,1358,1.20827,1.38543,1.4996,0.60238,0.54435,0.59754,0.42652,1.31797,1.55735,1.75821,0.009406,0.009406,0.009406
11,1491.92,1.2047,1.36609,1.49276,0.67487,0.57349,0.64583,0.45758,1.33987,1.41143,1.71359,0.00934,0.00934,0.00934
12,1624.13,1.18466,1.31374,1.48321,0.71335,0.59758,0.66901,0.48511,1.22634,1.29115,1.65307,0.009274,0.009274,0.009274
13,1757.74,1.15796,1.25729,1.47082,0.68369,0.59583,0.65135,0.47077,1.26513,1.2794,1.67937,0.009208,0.009208,0.009208
14,1890.68,1.15561,1.23108,1.46142,0.68944,0.64643,0.6993,0.50747,1.23077,1.23015,1.6485,0.009142,0.009142,0.009142
15,2024.04,1.15194,1.21362,1.45237,0.71229,0.68115,0.72447,0.5335,1.20733,1.1044,1.6202,0.009076,0.009076,0.009076
16,2157.78,1.11675,1.16419,1.42799,0.66804,0.65978,0.68817,0.51208,1.1961,1.21268,1.62444,0.00901,0.00901,0.00901
17,2291.06,1.11036,1.1456,1.42169,0.72947,0.63483,0.71915,0.52327,1.16653,1.18021,1.60014,0.008944,0.008944,0.008944
18,2424.34,1.1084,1.1243,1.41592,0.72425,0.60784,0.70115,0.51294,1.17113,1.19521,1.5802,0.008878,0.008878,0.008878
19,2557.54,1.10448,1.10428,1.41788,0.83358,0.64053,0.75613,0.55028,1.20599,1.13974,1.62172,0.008812,0.008812,0.008812
20,2690.83,1.08045,1.08394,1.3928,0.68206,0.66991,0.7193,0.53209,1.18503,1.07212,1.58583,0.008746,0.008746,0.008746
21,2824.99,1.07951,1.0562,1.38978,0.79987,0.64232,0.73754,0.54528,1.17034,1.08662,1.58095,0.00868,0.00868,0.00868
22,2963.3,1.08386,1.04918,1.38919,0.76606,0.66184,0.7356,0.54108,1.20049,1.06426,1.6371,0.008614,0.008614,0.008614
23,3099.32,1.06044,1.01228,1.3789,0.7362,0.67485,0.74057,0.55129,1.19533,1.05342,1.59202,0.008548,0.008548,0.008548
24,3233.49,1.04723,0.99777,1.35785,0.77089,0.66593,0.74729,0.55476,1.16438,1.03474,1.56927,0.008482,0.008482,0.008482
25,3367.18,1.05385,0.9976,1.36943,0.71371,0.71748,0.74759,0.55367,1.15009,1.00381,1.5411,0.008416,0.008416,0.008416
26,3500.93,1.0439,0.97379,1.36697,0.77487,0.70086,0.76679,0.55971,1.17565,1.04763,1.5715,0.00835,0.00835,0.00835
27,3634.75,1.03778,0.96172,1.35261,0.75271,0.71922,0.77931,0.57847,1.15029,0.98149,1.53176,0.008284,0.008284,0.008284
28,3768.67,1.02335,0.94606,1.34319,0.77624,0.73171,0.78674,0.57711,1.14519,0.93449,1.54885,0.008218,0.008218,0.008218
29,3902.38,1.01848,0.924,1.33966,0.80308,0.68832,0.75653,0.57483,1.13161,0.9942,1.54951,0.008152,0.008152,0.008152
30,4036.13,1.01621,0.90707,1.33249,0.77757,0.7176,0.7857,0.58825,1.09656,0.97276,1.49046,0.008086,0.008086,0.008086
31,4169.83,1.00461,0.89124,1.32831,0.75635,0.74081,0.78692,0.58694,1.13624,0.96972,1.55313,0.00802,0.00802,0.00802
32,4303.44,0.99546,0.89686,1.31585,0.79102,0.72829,0.79084,0.58925,1.09037,0.89897,1.4952,0.007954,0.007954,0.007954
33,4437.12,0.99703,0.87801,1.31507,0.80349,0.76001,0.80455,0.59597,1.12195,0.89785,1.53065,0.007888,0.007888,0.007888
34,4570.8,0.98051,0.85501,1.31047,0.81639,0.72947,0.78356,0.58994,1.12362,0.94964,1.54032,0.007822,0.007822,0.007822
35,4705.07,0.97586,0.85144,1.30674,0.80404,0.74468,0.79052,0.5839,1.10527,0.94987,1.52369,0.007756,0.007756,0.007756
36,4838.1,0.96115,0.83185,1.29107,0.84516,0.72053,0.80811,0.59622,1.08976,0.86959,1.51329,0.00769,0.00769,0.00769
37,4971.48,0.96439,0.82904,1.30046,0.83983,0.67998,0.77627,0.59331,1.0515,0.9028,1.48837,0.007624,0.007624,0.007624
38,5104.75,0.95905,0.82373,1.28499,0.84442,0.70646,0.78436,0.5958,1.06951,0.90677,1.50416,0.007558,0.007558,0.007558
39,5238.31,0.95907,0.81284,1.28314,0.85882,0.71574,0.80454,0.60642,1.05292,0.89517,1.46972,0.007492,0.007492,0.007492
40,5371.41,0.9502,0.79801,1.28038,0.85134,0.71946,0.80046,0.61712,1.04978,0.87561,1.48418,0.007426,0.007426,0.007426
41,5504.37,0.94043,0.77284,1.2754,0.76032,0.73969,0.78343,0.59794,1.06485,0.89258,1.48983,0.00736,0.00736,0.00736
42,5637.41,0.92858,0.77094,1.26859,0.8032,0.72931,0.79312,0.60394,1.06846,0.91017,1.49541,0.007294,0.007294,0.007294
43,5770.5,0.92133,0.75723,1.26246,0.79497,0.75575,0.80993,0.61387,1.07237,0.88859,1.49249,0.007228,0.007228,0.007228
44,5903.69,0.91542,0.74815,1.2543,0.81986,0.76739,0.81345,0.6129,1.04984,0.84222,1.46451,0.007162,0.007162,0.007162
45,6036.79,0.91996,0.74796,1.25388,0.79949,0.74079,0.81148,0.61627,1.03108,0.84444,1.45886,0.007096,0.007096,0.007096
46,6171.5,0.90887,0.73903,1.24997,0.83849,0.72489,0.81201,0.62063,1.0399,0.83973,1.4716,0.00703,0.00703,0.00703
47,6305.08,0.90379,0.72942,1.24399,0.7538,0.75985,0.77983,0.60471,1.01562,0.89089,1.47318,0.006964,0.006964,0.006964
48,6439.71,0.90354,0.73107,1.24279,0.83932,0.71908,0.80585,0.61621,1.02861,0.89748,1.49477,0.006898,0.006898,0.006898
49,6573.9,0.88195,0.71031,1.2299,0.85297,0.7118,0.77576,0.60114,1.02965,0.93705,1.47568,0.006832,0.006832,0.006832
50,6707.94,0.88363,0.71406,1.22867,0.78372,0.74266,0.79543,0.61534,1.03121,0.89355,1.48424,0.006766,0.006766,0.006766
51,6841.91,0.87326,0.70155,1.2257,0.8358,0.71524,0.79455,0.6196,1.03478,0.88948,1.48544,0.0067,0.0067,0.0067
52,6976,0.86711,0.68514,1.21811,0.77873,0.77192,0.79327,0.61052,1.05383,0.86824,1.51078,0.006634,0.006634,0.006634
53,7110.06,0.8777,0.69442,1.22878,0.84705,0.741,0.81197,0.6259,1.00198,0.85838,1.48497,0.006568,0.006568,0.006568
54,7244.25,0.86658,0.67677,1.21891,0.86897,0.71836,0.80581,0.62218,1.01434,0.85454,1.4921,0.006502,0.006502,0.006502
55,7378.28,0.84936,0.67141,1.20918,0.84727,0.74704,0.80439,0.62476,1.01712,0.82617,1.47633,0.006436,0.006436,0.006436
56,7512.5,0.84625,0.66925,1.21324,0.8055,0.75934,0.79827,0.6163,1.00803,0.87415,1.4832,0.00637,0.00637,0.00637
57,7646.81,0.84583,0.65158,1.20264,0.85664,0.76404,0.82058,0.6385,1.01214,0.81169,1.48591,0.006304,0.006304,0.006304
58,7781.05,0.83586,0.64918,1.19928,0.81067,0.75411,0.80257,0.62361,1.00381,0.82211,1.47271,0.006238,0.006238,0.006238
59,7915.26,0.84121,0.64445,1.19854,0.80589,0.77373,0.81658,0.63293,0.99101,0.80899,1.4759,0.006172,0.006172,0.006172
60,8049.38,0.81499,0.62341,1.18431,0.83342,0.74849,0.80315,0.625,0.99421,0.84285,1.46818,0.006106,0.006106,0.006106
61,8183.29,0.81663,0.62354,1.1834,0.83504,0.75383,0.81293,0.62925,0.99503,0.8731,1.46974,0.00604,0.00604,0.00604
62,8317.34,0.81126,0.61658,1.17756,0.83148,0.75064,0.80455,0.6297,1.00481,0.87099,1.47834,0.005974,0.005974,0.005974
63,8451.33,0.80258,0.61075,1.17245,0.83226,0.74641,0.81854,0.63627,0.97306,0.81374,1.45775,0.005908,0.005908,0.005908
64,8585.53,0.80795,0.6069,1.17208,0.82426,0.75325,0.81863,0.64158,0.99247,0.87014,1.47618,0.005842,0.005842,0.005842
65,8719.84,0.79111,0.60317,1.16617,0.88268,0.72839,0.8177,0.64364,0.98194,0.80047,1.45544,0.005776,0.005776,0.005776
66,8854.19,0.78372,0.59505,1.16435,0.89712,0.7385,0.82682,0.64284,1.00175,0.79606,1.49169,0.00571,0.00571,0.00571
67,8988.48,0.78542,0.58636,1.16205,0.84613,0.74352,0.81845,0.64221,0.98589,0.78564,1.483,0.005644,0.005644,0.005644
68,9122.72,0.77802,0.57901,1.1597,0.85363,0.75583,0.82641,0.64569,0.98962,0.7693,1.48051,0.005578,0.005578,0.005578
69,9257.04,0.77429,0.58275,1.15399,0.83274,0.7712,0.82911,0.64548,0.97627,0.79872,1.49475,0.005512,0.005512,0.005512
70,9391.35,0.76525,0.56858,1.14968,0.84689,0.76264,0.82551,0.64085,0.97217,0.77896,1.49463,0.005446,0.005446,0.005446
71,9532.06,0.76669,0.56821,1.14641,0.82546,0.77797,0.82624,0.63796,0.9828,0.81266,1.49498,0.00538,0.00538,0.00538
72,9670.8,0.75481,0.55696,1.14529,0.85392,0.73681,0.81544,0.64013,0.9943,0.81635,1.51393,0.005314,0.005314,0.005314
73,9808.33,0.74945,0.55333,1.13983,0.84336,0.75069,0.82205,0.64519,0.96644,0.77882,1.48816,0.005248,0.005248,0.005248
74,9945.69,0.74616,0.55669,1.14083,0.87808,0.73182,0.82114,0.64356,0.9797,0.77515,1.50301,0.005182,0.005182,0.005182
75,10079.2,0.75621,0.55672,1.14555,0.86528,0.75115,0.82153,0.64406,0.99716,0.78449,1.52383,0.005116,0.005116,0.005116
76,10212.8,0.73575,0.54913,1.13566,0.81068,0.77543,0.81634,0.64246,0.98756,0.83432,1.52229,0.00505,0.00505,0.00505
77,10346.5,0.72947,0.53514,1.13036,0.82148,0.75876,0.8128,0.64247,0.98473,0.87911,1.527,0.004984,0.004984,0.004984
78,10482,0.71942,0.53215,1.12339,0.89102,0.73677,0.81237,0.64222,0.98344,0.8753,1.52888,0.004918,0.004918,0.004918
79,10617.2,0.71441,0.52705,1.12607,0.8279,0.75728,0.81216,0.64269,0.97061,0.84626,1.52879,0.004852,0.004852,0.004852
